iter	Logloss
0	0.6864967346
1	0.6801738739
2	0.6738489532
3	0.6676028442
4	0.6614474487
5	0.6553179932
6	0.6492112732
7	0.6402497101
8	0.6336802673
9	0.6274370193
10	0.6220593643
11	0.6170226288
12	0.6118985748
13	0.6071244431
14	0.6022151184
15	0.5976873779
16	0.59300457
17	0.5877719116
18	0.5836145401
19	0.5794158173
20	0.5753791809
21	0.5712431335
22	0.5671902084
23	0.5631513214
24	0.5593277359
25	0.5549849319
26	0.5512073517
27	0.5472183228
28	0.543658905
29	0.5404518509
30	0.537176857
31	0.5342489624
32	0.5306651688
33	0.5245494461
34	0.5215060425
35	0.5156402969
36	0.5121897125
37	0.5079152298
38	0.5046740723
39	0.5018290329
40	0.4981053162
41	0.4951483917
42	0.4919523621
43	0.4888162994
44	0.4861790085
45	0.4834775925
46	0.4811093903
47	0.4788201904
48	0.4758057404
49	0.4739268112
50	0.4699105453
51	0.4677577972
52	0.4651035309
53	0.4627312469
54	0.4593634033
55	0.45724823
56	0.4550706482
57	0.4530348206
58	0.4488639832
59	0.4469869232
60	0.4429248428
61	0.4393210602
62	0.4374406815
63	0.4357079697
64	0.4336819839
65	0.4322335052
66	0.4302606964
67	0.4266876602
68	0.4252228165
69	0.4217702484
70	0.4200564575
71	0.4184870148
72	0.4168007278
73	0.4139562225
74	0.411407547
75	0.4101038361
76	0.4084182739
77	0.4070743942
78	0.4040402603
79	0.4022996521
80	0.4002239227
81	0.3986701584
82	0.3972438049
83	0.3959151459
84	0.3948016357
85	0.3918612289
86	0.3904343414
87	0.3893505859
88	0.3885391998
89	0.3872080231
90	0.3863008499
91	0.385393219
92	0.3842705536
93	0.3816839218
94	0.3802809906
95	0.3790467834
96	0.3777188873
97	0.3766688538
98	0.3754746246
99	0.3742963409
100	0.3732726288
101	0.3716628647
102	0.3707354736
103	0.3702132416
104	0.3693719482
105	0.3686243439
106	0.3661614227
107	0.3655689621
108	0.3644818878
109	0.3637388611
110	0.362918663
111	0.3620163345
112	0.3610321045
113	0.3587572861
114	0.3578669357
115	0.3567259979
116	0.3560570526
117	0.3550946045
118	0.354054985
119	0.3522529602
120	0.3514682007
121	0.3503417969
122	0.349294281
123	0.3484855652
124	0.3475421906
125	0.3454621887
126	0.3445115662
127	0.344019928
128	0.3421136475
129	0.3413077164
130	0.3405375671
131	0.3393062973
132	0.3374549866
133	0.3354539108
134	0.334422226
135	0.3336180115
136	0.331960144
137	0.3316649628
138	0.3307962036
139	0.3299694824
140	0.3293655014
141	0.3287859726
142	0.3271636581
143	0.3253160095
144	0.3242116928
145	0.3235127258
146	0.3228747177
147	0.3224182129
148	0.3217202377
149	0.320052681
150	0.3192711067
151	0.3187344742
152	0.3178455544
153	0.3169885635
154	0.31649086
155	0.3161312866
156	0.3145471954
157	0.3137168884
158	0.3120623016
159	0.3106965256
160	0.3099918365
161	0.3095914459
162	0.3091975594
163	0.3077940559
164	0.3070495605
165	0.3064536858
166	0.3058737946
167	0.3045996475
168	0.3030779266
169	0.3022691727
170	0.3014990807
171	0.300978241
172	0.3004441452
173	0.3000944901
174	0.299581604
175	0.2989870262
176	0.2984919739
177	0.2969420815
178	0.2961849976
179	0.2948334312
180	0.294526062
181	0.2932936478
182	0.2929168701
183	0.2922993851
184	0.2916970444
185	0.2904102707
186	0.2901660538
187	0.2889812851
188	0.2886035919
189	0.2874632454
190	0.2868477631
191	0.2862486649
192	0.2854865646
193	0.284303894
194	0.2839996719
195	0.2836012077
196	0.283122406
197	0.2824455261
198	0.2818949509
199	0.281013298
200	0.2805168152
201	0.2793135262
202	0.2786818695
203	0.2784052658
204	0.2778263092
205	0.2769449425
206	0.2764291763
207	0.2760454178
208	0.2755738068
209	0.2753799438
210	0.2751876259
211	0.2740315247
212	0.2727685165
213	0.2724088097
214	0.2717850876
215	0.2708193016
216	0.2704470825
217	0.2701965714
218	0.2691610146
219	0.268795948
220	0.2685510635
221	0.2681661224
222	0.2678791428
223	0.2673813248
224	0.2663698769
225	0.2660376358
226	0.2655352402
227	0.2649342346
228	0.2644437981
229	0.263446579
230	0.2629436874
231	0.2623828316
232	0.261865654
233	0.2615439987
234	0.261055069
235	0.2606887817
236	0.2604062843
237	0.2600318909
238	0.2597251892
239	0.2594026947
240	0.259000473
241	0.2586415863
242	0.2583720207
243	0.2575716782
244	0.2569890213
245	0.2568489838
246	0.256579628
247	0.2563320541
248	0.2559051514
249	0.2554024315
250	0.2549544525
251	0.2546251678
252	0.2542870712
253	0.2540609169
254	0.2533954048
255	0.2529875183
256	0.2525840378
257	0.2523999596
258	0.2521358299
259	0.2515969276
260	0.2508725739
261	0.2503697968
262	0.2501630783
263	0.2498625565
264	0.2496075058
265	0.2492176819
266	0.2487578011
267	0.2485018349
268	0.2482740021
269	0.2478237534
270	0.2476428413
271	0.2470965767
272	0.2464860344
273	0.2461520004
274	0.2457157516
275	0.2451074982
276	0.2449494934
277	0.2444896889
278	0.2440571976
279	0.2436592865
280	0.2435274124
281	0.2431523514
282	0.2428761101
283	0.2423624039
284	0.2421297836
285	0.2419025803
286	0.2415957642
287	0.240944519
288	0.2407310486
289	0.2403914833
290	0.239776783
291	0.2393808937
292	0.2391054535
293	0.2388561249
294	0.238534584
295	0.2381861305
296	0.2379646111
297	0.2376115799
298	0.2370042038
299	0.2364891052
300	0.2360061646
301	0.2357758713
302	0.235427494
303	0.2353684998
304	0.2351093292
305	0.2348588562
306	0.2346349335
307	0.2343706512
308	0.2341281128
309	0.2339081192
310	0.2334868813
311	0.2330442619
312	0.2326333809
313	0.2322275734
314	0.2318628693
315	0.2314254379
316	0.231233139
317	0.2310007858
318	0.2306024551
319	0.2303565979
320	0.22978405
321	0.2293624115
322	0.229068718
323	0.2289397621
324	0.2281677628
325	0.227630291
326	0.2271349144
327	0.226856041
328	0.2266662598
329	0.2263344193
330	0.2259275055
331	0.2254950333
332	0.225146637
333	0.2247046089
334	0.2241986084
335	0.2237377167
336	0.223450737
337	0.2232228279
338	0.2229092789
339	0.2227410698
340	0.2224643326
341	0.2223126984
342	0.2218944359
343	0.2216755295
344	0.2215065956
345	0.2208400726
346	0.220173912
347	0.2197653198
348	0.2193668175
349	0.2189714813
350	0.2185787773
351	0.218281765
352	0.2178820419
353	0.2176545143
354	0.2172677612
355	0.2169676781
356	0.2166812134
357	0.2164468384
358	0.2160299301
359	0.2157592392
360	0.2152737045
361	0.214901886
362	0.2147391129
363	0.2146438408
364	0.2142994118
365	0.214058075
366	0.2137767982
367	0.2132184219
368	0.2128443146
369	0.2126307297
370	0.2124853516
371	0.2122829056
372	0.2121122932
373	0.211887455
374	0.2115284538
375	0.2112179375
376	0.21102211
377	0.2106868935
378	0.210346756
379	0.2101818848
380	0.2099117279
381	0.2096903229
382	0.2094242287
383	0.2091170692
384	0.2088879776
385	0.2086685944
386	0.2079608917
387	0.2076966476
388	0.2075331497
389	0.2069745445
390	0.2066436195
391	0.2063697243
392	0.2059646606
393	0.2055547333
394	0.2052573967
395	0.2049319839
396	0.2047600174
397	0.2046267891
398	0.2043789673
399	0.2042332458
400	0.203999958
401	0.2037464523
402	0.2033718109
403	0.2031312752
404	0.2029340744
405	0.2025978088
406	0.2024324989
407	0.202109642
408	0.2017276001
409	0.2014413452
410	0.2011625671
411	0.2008861732
412	0.2007483864
413	0.2005067444
414	0.2002822495
415	0.2000808334
416	0.1998355293
417	0.1995680046
418	0.1992403793
419	0.1991004753
420	0.1987443352
421	0.1982259178
422	0.1980450439
423	0.197871666
424	0.1976821136
425	0.1973371506
426	0.1969601631
427	0.1966426468
428	0.19638134
429	0.1961289597
430	0.1958333206
431	0.1956269264
432	0.1954343605
433	0.1952100563
434	0.1948616409
435	0.1945937347
436	0.1943136978
437	0.1940226364
438	0.1937665558
439	0.193679142
440	0.1934877205
441	0.1932417488
442	0.1930695343
443	0.193005867
444	0.1927400589
445	0.1924437332
446	0.1920080757
447	0.1917271042
448	0.1915340042
449	0.1912975693
450	0.1911310387
451	0.1909771156
452	0.1909465027
453	0.1907551575
454	0.1905983734
455	0.1901939392
456	0.1898741722
457	0.1896918678
458	0.1893691635
459	0.1891415215
460	0.1889456749
461	0.1887798882
462	0.1885736465
463	0.1882500458
464	0.1881061172
465	0.1879512787
466	0.1877421188
467	0.1873268318
468	0.1870873642
469	0.1869030571
470	0.1865468788
471	0.1862793541
472	0.1860268784
473	0.1859411049
474	0.1857954597
475	0.1855744743
476	0.1854887581
477	0.1848685074
478	0.1846078682
479	0.1843817902
480	0.1839160919
481	0.1837136841
482	0.1835549545
483	0.1831197357
484	0.1830179977
485	0.1826895523
486	0.1825697708
487	0.1822188568
488	0.1818878365
489	0.1817124939
490	0.181425972
491	0.1812508583
492	0.1809619141
493	0.1807946777
494	0.1805682755
495	0.1804138947
496	0.1801385498
497	0.1800689316
498	0.179860096
499	0.1793134499
500	0.1792103195
501	0.1788640213
502	0.1787099075
503	0.1784230804
504	0.1782139587
505	0.1779092407
506	0.1777929688
507	0.1776863098
508	0.1775242805
509	0.1774233627
510	0.1773814201
511	0.1771704292
512	0.1770272446
513	0.1769129562
514	0.1765890884
515	0.1763709068
516	0.1762451935
517	0.1758394623
518	0.1757640076
519	0.1755460167
520	0.1753756142
521	0.175177002
522	0.1749492645
523	0.1746409607
524	0.1744330597
525	0.1742512703
526	0.174056282
527	0.1738228226
528	0.1735208511
529	0.173435688
530	0.1733036423
531	0.173105545
532	0.1729740906
533	0.1727447891
534	0.1725316811
535	0.172446022
536	0.1723418427
537	0.1722061539
538	0.1720031357
539	0.1718566513
540	0.1716726112
541	0.1715400124
542	0.1712516022
543	0.1710324478
544	0.1708501244
545	0.1706289291
546	0.1704679489
547	0.1703241539
548	0.1701139832
549	0.1700217628
550	0.1699285507
551	0.1696428299
552	0.1692647934
553	0.169107399
554	0.1688271141
555	0.1686704254
556	0.1683980179
557	0.167996254
558	0.1678252411
559	0.1677189255
560	0.1674732399
561	0.1672613335
562	0.1671168709
563	0.1669320679
564	0.1665008545
565	0.1663428879
566	0.1661045456
567	0.1658968735
568	0.1656476593
569	0.1653654099
570	0.1651152992
571	0.1648871803
572	0.1647355652
573	0.1644897079
574	0.1640740967
575	0.163625412
576	0.1634489059
577	0.1632720375
578	0.1631196785
579	0.1627679825
580	0.162550087
581	0.1625012589
582	0.162264595
583	0.1620115662
584	0.161805191
585	0.1616737175
586	0.1614786911
587	0.1612521362
588	0.1609779739
589	0.1607575607
590	0.1604541016
591	0.1602487564
592	0.1600143051
593	0.1598453617
594	0.1596087646
595	0.1594129848
596	0.1593536186
597	0.1592495346
598	0.1591247749
599	0.1590657234
600	0.1588320827
601	0.1586594772
602	0.158572998
603	0.1583398914
604	0.1582552624
605	0.1580070877
606	0.1579024506
607	0.1577844524
608	0.1573700428
609	0.157175169
610	0.157096653
611	0.1570352364
612	0.1569451237
613	0.156690712
614	0.1564936829
615	0.156318121
616	0.1561439896
617	0.1559363461
618	0.1557374763
619	0.1554433823
620	0.1552764988
621	0.1551278019
622	0.1548903847
623	0.1546675873
624	0.1544912815
625	0.1541296577
626	0.1539922047
627	0.1538466454
628	0.1537131691
629	0.153466568
630	0.1533788967
631	0.1532839012
632	0.1530377007
633	0.1529671288
634	0.1528244019
635	0.1526698685
636	0.1524224854
637	0.152162075
638	0.152034502
639	0.1518068218
640	0.1515403843
641	0.1515091133
642	0.1512315464
643	0.1511867714
644	0.1509522629
645	0.1506843376
646	0.1505298996
647	0.1504352379
648	0.1503928566
649	0.1501928711
650	0.1499066353
651	0.1497363472
652	0.1496526909
653	0.1495261574
654	0.1493668938
655	0.1492451096
656	0.1489570427
657	0.1487012863
658	0.1485189152
659	0.1483898258
660	0.1482930946
661	0.1481871605
662	0.1479912758
663	0.147694912
664	0.147550993
665	0.1474514484
666	0.1474076271
667	0.1472198772
668	0.147012682
669	0.1468238831
670	0.1465319347
671	0.1462506866
672	0.1460126686
673	0.1459014988
674	0.1458601379
675	0.1455245399
676	0.1454723167
677	0.1452893257
678	0.1451093578
679	0.1450285339
680	0.1448620701
681	0.1446462154
682	0.1444675064
683	0.1441396904
684	0.1439750671
685	0.1439274311
686	0.1436069489
687	0.1434609985
688	0.1432985687
689	0.1432110786
690	0.1430470276
691	0.1429008961
692	0.1427075386
693	0.1425295639
694	0.1425072098
695	0.1424605465
696	0.1422382927
697	0.1421938324
698	0.1420827007
699	0.1420332146
700	0.1418180847
701	0.1417712212
702	0.1416374016
703	0.1414498711
704	0.1413511944
705	0.1411125851
706	0.1410700989
707	0.1408743668
708	0.1408214951
709	0.1407141685
710	0.14063097
711	0.1405347824
712	0.1403912735
713	0.1403232765
714	0.1401493835
715	0.1400338936
716	0.1398961639
717	0.1395767879
718	0.1394160938
719	0.1392728043
720	0.1391520214
721	0.1389947128
722	0.1389509296
723	0.1389281368
724	0.1387224388
725	0.1383938789
726	0.1381776237
727	0.1381425095
728	0.1380821037
729	0.1379078293
730	0.1377205276
731	0.1376224995
732	0.1375037384
733	0.1374321938
734	0.137165947
735	0.1371258354
736	0.1370697594
737	0.1370012093
738	0.1368643379
739	0.1367761993
740	0.136585722
741	0.1364862061
742	0.1364083576
743	0.1362256718
744	0.1359734726
745	0.1357239723
746	0.1356501007
747	0.1356033707
748	0.1355001354
749	0.1354428864
750	0.1352217674
751	0.1351067257
752	0.135044651
753	0.1350074768
754	0.1349608326
755	0.1349332047
756	0.1346585751
757	0.1343925476
758	0.1343486214
759	0.1342387009
760	0.1341726875
761	0.1340483475
762	0.1337034416
763	0.1335553169
764	0.1332661247
765	0.1330179214
766	0.1328492737
767	0.1326107788
768	0.1325817204
769	0.132534523
770	0.132322464
771	0.1321957493
772	0.1319690609
773	0.1316660309
774	0.1316031551
775	0.1315143871
776	0.1314015579
777	0.1313364601
778	0.1313162899
779	0.1311782455
780	0.1309636974
781	0.1307420635
782	0.1305976295
783	0.1304401875
784	0.1302270126
785	0.1301685047
786	0.1298408699
787	0.1297491646
788	0.1296609688
789	0.1296238422
790	0.1295446014
791	0.1294231224
792	0.1292266941
793	0.129182682
794	0.1289769554
795	0.1289122963
796	0.1287344265
797	0.1286439514
798	0.1284363937
799	0.1282747078
800	0.128223362
801	0.1281140327
802	0.12779706
803	0.1277428818
804	0.1274579334
805	0.1273753357
806	0.1272406006
807	0.1270516968
808	0.126873951
809	0.1268119812
810	0.1267524719
811	0.1266462421
812	0.1264307785
813	0.1263681507
814	0.1261756134
815	0.126152277
816	0.1261153221
817	0.1259783363
818	0.1257088089
819	0.1255887413
820	0.1253737926
821	0.1252556705
822	0.125210762
823	0.1250839996
824	0.1249728489
825	0.1248446369
826	0.1246118069
827	0.1245833015
828	0.1243968201
829	0.1241840649
830	0.1239478111
831	0.1238886833
832	0.123817091
833	0.1235138226
834	0.1233409691
835	0.1230830669
836	0.1228470802
837	0.1227298737
838	0.1226991749
839	0.1225660896
840	0.1224913692
841	0.1224040985
842	0.1222952461
843	0.1221256256
844	0.1219060707
845	0.1218788242
846	0.121833992
847	0.1218067837
848	0.1216650581
849	0.1214333916
850	0.1213709831
851	0.1212368393
852	0.1211208153
853	0.1210780334
854	0.1209179497
855	0.1207122421
856	0.1205496311
857	0.1204937172
858	0.1203588867
859	0.1203357029
860	0.1202192593
861	0.1200821114
862	0.1197802353
863	0.1196148872
864	0.1194538403
865	0.1192485809
866	0.1191679764
867	0.1190557384
868	0.1188926029
869	0.1188607121
870	0.118835659
871	0.1186093616
872	0.1185780144
873	0.1185514545
874	0.1183472157
875	0.118255415
876	0.1182216549
877	0.1181220245
878	0.1178938293
879	0.1177621841
880	0.1176996803
881	0.1175815105
882	0.1175525665
883	0.1172951889
884	0.117273922
885	0.117089653
886	0.1170043755
887	0.1169406509
888	0.1168648815
889	0.1166219521
890	0.1164332771
891	0.1161723518
892	0.1161502743
893	0.1160477352
894	0.1158909035
895	0.1158351612
896	0.1155908203
897	0.1154572105
898	0.1152515888
899	0.115137949
900	0.1150580788
901	0.1148498058
902	0.1148280525
903	0.1147828865
904	0.1147564697
905	0.1146805573
906	0.1144509506
907	0.114426651
908	0.1142798042
909	0.1141958046
910	0.1141706181
911	0.1140956211
912	0.1139375496
913	0.1137409782
914	0.1137249756
915	0.113663044
916	0.1135577965
917	0.1134419155
918	0.1134167099
919	0.113197155
920	0.1130988216
921	0.113018074
922	0.1128566837
923	0.1128324223
924	0.1125782967
925	0.112250185
926	0.112077961
927	0.1119447327
928	0.1118854713
929	0.1117376137
930	0.1115105534
931	0.111489172
932	0.1114176559
933	0.1113943291
934	0.1113721371
935	0.1113516521
936	0.1111032581
937	0.1109546757
938	0.1107466888
939	0.1107241535
940	0.1106392956
941	0.1105130386
942	0.1103661442
943	0.1102581787
944	0.1102371407
945	0.110162735
946	0.110043869
947	0.1098265076
948	0.1097994041
949	0.1096284294
950	0.1093976402
951	0.1093766117
952	0.1093198776
953	0.1092933083
954	0.1092002296
955	0.1091810417
956	0.1090185928
957	0.1089974213
958	0.1089746666
959	0.1087589169
960	0.1086359596
961	0.1084583473
962	0.1083111572
963	0.1081014633
964	0.1080821037
965	0.1080499268
966	0.1079679775
967	0.1078087425
968	0.1076937675
969	0.1076432896
970	0.1076144791
971	0.1074905872
972	0.1073243332
973	0.1071240234
974	0.106893816
975	0.1067728806
976	0.1066533852
977	0.106634922
978	0.1065503693
979	0.1064239311
980	0.1063252449
981	0.1061253071
982	0.1061064625
983	0.1058456707
984	0.1057493496
985	0.1057308388
986	0.1054990292
987	0.105367384
988	0.1052764988
989	0.1051185894
990	0.1051008415
991	0.1050391197
992	0.1050222874
993	0.1048883438
994	0.1046888161
995	0.104510479
996	0.1044678211
997	0.1043002319
998	0.104223175
999	0.1040352821
