iter	Passed	Remaining
0	5	5168
1	8	4005
2	10	3591
3	14	3596
4	18	3595
5	20	3461
6	23	3373
7	26	3292
8	30	3329
9	34	3374
10	37	3342
11	40	3299
12	43	3277
13	47	3365
14	51	3360
15	53	3320
16	57	3303
17	60	3275
18	65	3374
19	69	3405
20	73	3445
21	76	3414
22	81	3479
23	84	3453
24	87	3418
25	91	3409
26	94	3411
27	99	3467
28	102	3443
29	105	3400
30	107	3374
31	109	3308
32	118	3462
33	122	3481
34	125	3463
35	132	3551
36	137	3568
37	141	3581
38	149	3671
39	153	3695
40	156	3671
41	164	3753
42	168	3752
43	171	3734
44	175	3728
45	181	3769
46	185	3765
47	189	3765
48	198	3861
49	200	3818
50	204	3809
51	212	3876
52	216	3868
53	220	3866
54	227	3905
55	232	3911
56	236	3905
57	240	3901
58	248	3956
59	252	3949
60	254	3922
61	263	3987
62	267	3981
63	270	3955
64	277	3997
65	281	3978
66	283	3953
67	286	3927
68	294	3970
69	298	3965
70	301	3943
71	306	3949
72	311	3961
73	315	3951
74	318	3929
75	327	3977
76	333	3995
77	343	4056
78	347	4047
79	350	4025
80	356	4047
81	361	4041
82	365	4032
83	367	4011
84	376	4050
85	380	4040
86	382	4018
87	390	4051
88	394	4042
89	398	4027
90	402	4024
91	409	4038
92	413	4036
93	418	4035
94	424	4045
95	428	4035
96	435	4051
97	439	4041
98	443	4032
99	446	4019
100	452	4026
101	456	4016
102	462	4027
103	466	4022
104	471	4016
105	474	3998
106	481	4016
107	484	4002
108	487	3984
109	490	3966
110	497	3984
111	501	3978
112	504	3960
113	509	3961
114	514	3957
115	517	3944
116	520	3927
117	525	3927
118	529	3918
119	532	3901
120	534	3886
121	537	3868
122	542	3868
123	545	3855
124	548	3839
125	551	3824
126	554	3810
127	559	3810
128	562	3795
129	564	3780
130	567	3765
131	570	3751
132	575	3752
133	578	3739
134	581	3725
135	584	3711
136	587	3700
137	593	3709
138	597	3702
139	600	3690
140	604	3680
141	610	3687
142	614	3679
143	616	3666
144	619	3655
145	624	3654
146	627	3642
147	630	3629
148	633	3615
149	637	3610
150	641	3604
151	643	3591
152	646	3579
153	649	3567
154	653	3565
155	657	3555
156	660	3543
157	662	3531
158	665	3520
159	670	3517
160	673	3509
161	676	3497
162	679	3486
163	681	3475
164	684	3465
165	688	3460
166	691	3449
167	694	3438
168	697	3427
169	700	3418
170	703	3412
171	706	3401
172	709	3391
173	712	3381
174	718	3388
175	724	3392
176	727	3382
177	730	3372
178	735	3372
179	738	3365
180	741	3354
181	744	3344
182	746	3334
183	751	3334
184	754	3325
185	757	3315
186	760	3305
187	763	3295
188	767	3294
189	770	3285
190	773	3276
191	776	3267
192	779	3258
193	784	3257
194	787	3251
195	790	3242
196	793	3233
197	798	3232
198	801	3226
199	804	3218
200	807	3209
201	810	3200
202	814	3199
203	819	3196
204	822	3191
205	825	3182
206	828	3174
207	832	3171
208	835	3163
209	838	3155
210	841	3147
211	844	3138
212	849	3139
213	852	3131
214	855	3123
215	858	3115
216	862	3111
217	865	3105
218	868	3096
219	871	3088
220	874	3080
221	877	3073
222	881	3069
223	883	3062
224	886	3054
225	889	3046
226	892	3038
227	896	3037
228	899	3029
229	902	3021
230	905	3014
231	908	3007
232	913	3007
233	916	3000
234	919	2992
235	921	2984
236	924	2977
